time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1981-10-25T03:22:15.570Z,18.048,-102.084,33,7.3,ms,,,,1.2,us,usp0001gnv,2020-02-06T18:53:24.571Z,"Guerrero, Mexico",earthquake,,,,16,reviewed,us,us
1981-01-30T08:52:44.100Z,51.744,176.274,33,7,ms,,,,,us,usp0001byq,2018-06-04T20:43:45.000Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
1980-11-08T10:27:34.000Z,41.117,-124.253,19,7.2,mw,,,,,us,usp0001aq1,2020-02-06T18:48:40.445Z,"offshore Northern California",earthquake,,,,,reviewed,us,01023
1979-02-28T21:27:06.100Z,60.642,-141.593,15,7.1,ms,,,,,us,usp0000z2a,2020-02-06T18:40:33.616Z,"Southern Alaska",earthquake,,,,,reviewed,ag,us
1975-11-29T14:47:40.100Z,19.333,-155.0015,8.95,7.7,mw,,,,,official,official19751129144740_9,2020-02-06T18:06:27.468Z,"Kalapana Earthquake",earthquake,10,5,,,reviewed,official,official
1975-02-02T08:43:39.100Z,53.113,173.497,10,7.6,ms,,,,,us,usp00009ry,2020-03-27T16:59:30.911Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
1973-01-30T21:01:12.500Z,18.481,-102.996,43,7.5,ms,,,,,us,usp00000bf,2020-02-06T18:21:59.069Z,"Michoacan, Mexico",earthquake,,,,,reviewed,us,us
1972-07-30T21:45:17.000Z,56.724,-135.853,25,7.6,mw,,,,,iscgem,iscgem772060,2020-03-26T18:24:08.598Z,"Southeastern Alaska",earthquake,,,,,automatic,iscgem,iscgem
1971-05-02T06:08:27.000Z,51.396,-177.318,24.2,7,mw,,,,,iscgem,iscgem784013,2020-03-26T19:04:02.423Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1971-02-07T02:29:30.000Z,51.409,-176.974,28.9,7,mw,,,,,iscgem,iscgem786954,2020-03-26T19:15:43.466Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-06-24T13:09:13.000Z,51.692,-131.055,18.3,7.4,mw,,,,,iscgem,iscgem794827,2015-05-13T18:53:04.000Z,"Haida Gwaii Region, Canada",earthquake,,,,,automatic,iscgem,iscgem
1970-02-28T10:52:33.000Z,52.487,-174.915,164.1,7.1,mw,,,,,iscgem,iscgem799531,2019-05-20T22:39:30.314Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1965-09-04T14:32:51.000Z,58.09,-152.525,27.8,7,mw,,,,,iscgem,iscgem853605,2020-03-26T21:44:59.066Z,"Kodiak Island region, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1965-07-02T20:58:40.000Z,52.99,-167.739,45,7.8,mw,,,,,iscgem,iscgem855112,2020-03-26T21:53:25.583Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1965-03-30T02:27:04.600Z,50.32,177.93,20,7.65,mw,,,,,ushis,ushis2799,2020-03-27T15:39:18.630Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,ka
1965-02-04T08:40:44.000Z,51.443,179.605,30,7.3,mw,,,,,iscgem,iscgem859264,2019-05-16T16:59:34.593Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1965-02-04T05:01:22.000Z,51.251,178.715,30.3,8.7,mw,,,,,official,official19650204050122_30,2020-03-27T10:40:42.559Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,official
1964-07-06T07:22:13.000Z,18.136,-100.605,93.3,7.3,mw,,,,,iscgem,iscgem865780,2020-03-26T22:18:59.530Z,"Guerrero, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1964-03-28T03:36:16.000Z,60.908,-147.339,25,9.2,mw,,,,,official,official19640328033616_30,2020-03-02T21:47:55.958Z,"1964 Prince William Sound Earthquake, Alaska",earthquake,,,,,automatic,iscgem,official
